observation_id,N_params_B,scale,p_fingerprint,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17
A_A10_A11_41,1.0,1B,94c264243f5445e3aeb5,0.4669338677354709,0.0751503006012024,0.0,0.0701402805611222,0.0060120240480961,0.0,0.0440881763527054,0.0,0.0781563126252505,0.0,0.0,0.2004008016032064,0.0,0.0,0.0,0.0280561122244488,0.0310621242484969
A_A10_A11_42,1.0,1B,2c88876fcde98844d492,0.0269730269730269,0.0409590409590409,0.0,0.1158841158841158,0.0209790209790209,0.0009990009990009,0.0669330669330669,0.0,0.1368631368631368,0.0,0.0009990009990009,0.5484515484515484,0.0019980019980019,0.0,0.0,0.0019980019980019,0.0369630369630369
A_A10_A11_43,1.0,1B,a352a902ce72fe10cfc5,0.063,0.089,0.0,0.219,0.001,0.05,0.291,0.0,0.002,0.0,0.0,0.238,0.0,0.001,0.001,0.045,0.0
A_A10_A11_44,1.0,1B,c36daea1d65a1fc617bc,0.121,0.008,0.0,0.093,0.008,0.016,0.012,0.0,0.408,0.0,0.006,0.156,0.013,0.001,0.0,0.005,0.153
A_A10_A11_45,1.0,1B,5dffe2e1c58a329d1514,0.0409590409590409,0.0249750249750249,0.0,0.1108891108891109,0.0919080919080919,0.0619380619380619,0.1208791208791209,0.0,0.1238761238761238,0.0,0.0,0.2137862137862138,0.1288711288711289,0.0059940059940059,0.0119880119880119,0.0119880119880119,0.0519480519480519
A_A10_A11_46,1.0,1B,2016b335e42f915c7620,0.033,0.048,0.0,0.22,0.027,0.002,0.169,0.0,0.082,0.0,0.057,0.312,0.0,0.0,0.0,0.0,0.05
A_A10_A11_47,1.0,1B,b1d15755e224498c9488,0.114,0.116,0.0,0.081,0.038,0.031,0.109,0.0,0.001,0.0,0.021,0.428,0.001,0.0,0.0,0.031,0.029
A_A10_A11_48,1.0,1B,d371829a0b439f3db9ea,0.082082082082082,0.1201201201201201,0.0,0.051051051051051,0.067067067067067,0.034034034034034,0.2052052052052052,0.0,0.036036036036036,0.0,0.0,0.3713713713713714,0.0,0.0,0.0,0.029029029029029,0.004004004004004
A_A10_A11_49,1.0,1B,e35894b4241e4fedc38f,0.0909090909090909,0.0839160839160839,0.0,0.3426573426573426,0.0,0.1738261738261738,0.1438561438561438,0.0,0.0089910089910089,0.0,0.0189810189810189,0.1218781218781218,0.0009990009990009,0.0029970029970029,0.0009990009990009,0.0059940059940059,0.0039960039960039
A_A10_A11_50,1.0,1B,8ceccdb63b67282cfe26,0.194,0.04,0.022,0.126,0.046,0.028,0.048,0.01,0.099,0.0,0.04,0.229,0.0,0.002,0.0,0.089,0.027
A_A10_A11_51,1.0,1B,d3b279cf396c74f5e9a9,0.011,0.022,0.0,0.37,0.006,0.0,0.14,0.0,0.058,0.0,0.216,0.101,0.033,0.0,0.002,0.026,0.015
A_A10_A11_52,1.0,1B,afa7677cf50dfb543c0f,0.039,0.063,0.0,0.079,0.0,0.002,0.482,0.0,0.012,0.0,0.0,0.269,0.0,0.0,0.0,0.002,0.052
A_A10_A11_53,1.0,1B,db6fdbc9b34816ca3782,0.2937062937062937,0.1188811188811189,0.0,0.1858141858141858,0.0229770229770229,0.0049950049950049,0.0229770229770229,0.0,0.0009990009990009,0.0,0.0019980019980019,0.2127872127872128,0.0229770229770229,0.0,0.0,0.0239760239760239,0.0879120879120879
A_A10_A11_54,1.0,1B,425456bb5ae06f482b2f,0.012012012012012,0.1601601601601601,0.0,0.3113113113113113,0.014014014014014,0.0,0.1171171171171171,0.0,0.004004004004004,0.0,0.2362362362362362,0.037037037037037,0.007007007007007,0.0,0.0,0.007007007007007,0.0940940940940941
A_A10_A11_55,1.0,1B,6606db4b1d9b8e4460c8,0.25,0.058,0.0,0.104,0.044,0.0,0.028,0.0,0.06,0.0,0.0,0.363,0.0,0.0,0.0,0.086,0.007
A_A10_A11_56,1.0,1B,80d5d5f5b25429682ca7,0.137,0.085,0.0,0.085,0.059,0.0,0.039,0.0,0.017,0.009,0.007,0.435,0.0,0.0,0.001,0.004,0.122
A_A10_A11_57,1.0,1B,8f86c5895669333c24fd,0.1758241758241757,0.0069930069930069,0.0,0.0499500499500499,0.1218781218781218,0.0009990009990009,0.0879120879120878,0.0689310689310689,0.0499500499500499,0.0,0.0,0.3386613386613386,0.0059940059940059,0.0119880119880119,0.0,0.0039960039960039,0.0769230769230769
A_A10_A11_58,1.0,1B,84d0c19d796c3c2bf9fc,0.4714714714714714,0.038038038038038,0.0,0.2182182182182182,0.005005005005005,0.0,0.0970970970970971,0.0,0.016016016016016,0.0,0.018018018018018,0.1121121121121121,0.017017017017017,0.0,0.0,0.001001001001001,0.006006006006006
A_A10_A11_59,1.0,1B,ca26965381ca37c589bd,0.081,0.153,0.0,0.17,0.017,0.033,0.041,0.048,0.077,0.0,0.001,0.268,0.095,0.0,0.0,0.0,0.016
A_A10_A11_60,1.0,1B,ad986b02b10241ded7ea,0.1068931068931068,0.0159840159840159,0.0,0.2177822177822177,0.0029970029970029,0.0,0.2377622377622377,0.0,0.1128871128871128,0.0,0.0,0.2717282717282717,0.0009990009990009,0.0,0.0,0.0199800199800199,0.0129870129870129
A_A10_A11_61,1.0,1B,1a3adb9fb58720eea894,0.278,0.141,0.0,0.257,0.099,0.009,0.041,0.0,0.027,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.02
A_A10_A11_62,1.0,1B,08150f7d38ffd1bd06f6,0.119,0.085,0.027,0.294,0.02,0.073,0.038,0.0,0.046,0.001,0.026,0.232,0.0,0.001,0.0,0.013,0.025
A_A10_A11_63,1.0,1B,55dfbe783839d8b9536b,0.131,0.006,0.03,0.075,0.0,0.093,0.369,0.0,0.06,0.0,0.002,0.188,0.001,0.003,0.017,0.016,0.009
